site,plotid,pre_post_fire,year,diamclass,n_trees_diamclass,n_trees_diamclass_acre
BlissSP,bliss11,prefire,2019,[40-60],4,40
BlissSP,bliss11,prefire,2019,[>100],0,0
BlissSP,bliss11,prefire,2019,[60-80],2,20
BlissSP,bliss11,prefire,2019,[80-100],0,0
BlissSP,bliss12,prefire,2019,[<20],1,10
BlissSP,bliss12,prefire,2019,[20-40],0,0
BlissSP,bliss12,prefire,2019,[40-60],1,10
BlissSP,bliss12,prefire,2019,[>100],0,0
BlissSP,bliss12,prefire,2019,[60-80],2,20
BlissSP,bliss12,prefire,2019,[80-100],1,10
BlissSP,bliss13,prefire,2019,[<20],0,0
BlissSP,bliss13,prefire,2019,[20-40],4,40
BlissSP,bliss13,prefire,2019,[40-60],5,50
BlissSP,bliss13,prefire,2019,[>100],0,0
BlissSP,bliss13,prefire,2019,[60-80],2,20
BlissSP,bliss13,prefire,2019,[80-100],0,0
BlissSP,bliss14,prefire,2019,[<20],0,0
BlissSP,bliss14,prefire,2019,[20-40],2,20
BlissSP,bliss14,prefire,2019,[40-60],7,70
BlissSP,bliss14,prefire,2019,[>100],0,0
BlissSP,bliss14,prefire,2019,[60-80],0,0
BlissSP,bliss14,prefire,2019,[80-100],0,0
BlissSP,bliss15,prefire,2019,[<20],2,20
BlissSP,bliss15,prefire,2019,[20-40],6,60
BlissSP,bliss15,prefire,2019,[40-60],5,50
BlissSP,bliss15,prefire,2019,[>100],0,0
BlissSP,bliss15,prefire,2019,[60-80],0,0
BlissSP,bliss15,prefire,2019,[80-100],1,10
BlissSP,bliss2,prefire,2019,[<20],2,20
BlissSP,bliss2,prefire,2019,[20-40],3,30
BlissSP,bliss2,prefire,2019,[40-60],5,50
BlissSP,bliss2,prefire,2019,[>100],0,0
BlissSP,bliss2,prefire,2019,[60-80],0,0
BlissSP,bliss2,prefire,2019,[80-100],0,0
BlissSP,bliss3 ,prefire,2019,[<20],0,0
BlissSP,bliss3 ,prefire,2019,[20-40],11,110
BlissSP,bliss3 ,prefire,2019,[40-60],4,40
BlissSP,bliss3 ,prefire,2019,[>100],0,0
BlissSP,bliss3 ,prefire,2019,[60-80],0,0
BlissSP,bliss3 ,prefire,2019,[80-100],0,0
BlissSP,bliss4,prefire,2019,[<20],1,10
BlissSP,bliss4,prefire,2019,[20-40],1,10
BlissSP,bliss4,prefire,2019,[40-60],2,20
BlissSP,bliss4,prefire,2019,[>100],0,0
BlissSP,bliss4,prefire,2019,[60-80],0,0
BlissSP,bliss4,prefire,2019,[80-100],0,0
BlissSP,bliss5,prefire,2019,[<20],0,0
BlissSP,bliss5,prefire,2019,[20-40],2,20
BlissSP,bliss5,prefire,2019,[40-60],4,40
BlissSP,bliss5,prefire,2019,[>100],0,0
BlissSP,bliss5,prefire,2019,[60-80],1,10
BlissSP,bliss5,prefire,2019,[80-100],1,10
BlissSP,bliss6,prefire,2019,[<20],1,10
BlissSP,bliss6,prefire,2019,[20-40],3,30
BlissSP,bliss6,prefire,2019,[40-60],1,10
BlissSP,bliss6,prefire,2019,[>100],0,0
BlissSP,bliss6,prefire,2019,[60-80],2,20
BlissSP,bliss6,prefire,2019,[80-100],0,0
BlissSP,bliss7,prefire,2019,[<20],4,40
BlissSP,bliss7,prefire,2019,[20-40],20,200
BlissSP,bliss7,prefire,2019,[40-60],8,80
BlissSP,bliss7,prefire,2019,[>100],0,0
BlissSP,bliss7,prefire,2019,[60-80],0,0
BlissSP,bliss7,prefire,2019,[80-100],0,0
BlissSP,bliss8,prefire,2019,[<20],0,0
BlissSP,bliss8,prefire,2019,[20-40],3,30
BlissSP,bliss8,prefire,2019,[40-60],2,20
BlissSP,bliss8,prefire,2019,[>100],0,0
BlissSP,bliss8,prefire,2019,[60-80],1,10
BlissSP,bliss8,prefire,2019,[80-100],0,0
BlissSP,bliss9,prefire,2019,[<20],0,0
BlissSP,bliss9,prefire,2019,[20-40],4,40
BlissSP,bliss9,prefire,2019,[40-60],1,10
BlissSP,bliss9,prefire,2019,[>100],0,0
BlissSP,bliss9,prefire,2019,[60-80],0,0
BlissSP,bliss9,prefire,2019,[80-100],0,0
BurtonSP,Burton07,postfire,2020,[<20],4,40
BurtonSP,Burton07,postfire,2020,[20-40],5,50
BurtonSP,Burton07,postfire,2020,[40-60],3,30
BurtonSP,Burton07,postfire,2020,[>100],1,10
BurtonSP,Burton07,postfire,2020,[60-80],2,20
BurtonSP,Burton07,postfire,2020,[80-100],0,0
BurtonSP,Burton08,postfire,2020,[<20],0,0
BurtonSP,Burton08,postfire,2020,[20-40],2,20
BurtonSP,Burton08,postfire,2020,[40-60],1,10
BurtonSP,Burton08,postfire,2020,[>100],0,0
BurtonSP,Burton08,postfire,2020,[60-80],1,10
BurtonSP,Burton08,postfire,2020,[80-100],2,20
BurtonSP,Burton09,postfire,2020,[<20],2,20
BurtonSP,Burton09,postfire,2020,[20-40],4,40
BurtonSP,Burton09,postfire,2020,[40-60],0,0
BurtonSP,Burton09,postfire,2020,[>100],0,0
BurtonSP,Burton09,postfire,2020,[60-80],2,20
BurtonSP,Burton09,postfire,2020,[80-100],0,0
BurtonSP,burton1,prefire,2019,[<20],0,0
BurtonSP,burton1,prefire,2019,[20-40],2,20
BurtonSP,burton1,prefire,2019,[40-60],4,40
BurtonSP,burton1,prefire,2019,[>100],0,0
BurtonSP,burton1,prefire,2019,[60-80],3,30
BurtonSP,burton1,prefire,2019,[80-100],0,0
BurtonSP,burton10,prefire,2019,[<20],7,70
BurtonSP,burton10,prefire,2019,[20-40],3,30
BurtonSP,burton10,prefire,2019,[40-60],1,10
BurtonSP,burton10,prefire,2019,[>100],0,0
BurtonSP,burton10,prefire,2019,[60-80],2,20
BurtonSP,burton10,prefire,2019,[80-100],1,10
BurtonSP,burton11,prefire,2019,[<20],0,0
BurtonSP,burton11,prefire,2019,[20-40],0,0
BurtonSP,burton11,prefire,2019,[40-60],4,40
BurtonSP,burton11,prefire,2019,[>100],0,0
BurtonSP,burton11,prefire,2019,[60-80],1,10
BurtonSP,burton11,prefire,2019,[80-100],1,10
BurtonSP,burton12,prefire,2019,[<20],13,130
BurtonSP,burton12,prefire,2019,[20-40],2,20
BurtonSP,burton12,prefire,2019,[40-60],0,0
BurtonSP,burton12,prefire,2019,[>100],0,0
BurtonSP,burton12,prefire,2019,[60-80],1,10
BurtonSP,burton12,prefire,2019,[80-100],0,0
BurtonSP,burton13,prefire,2019,[<20],11,110
BurtonSP,burton13,prefire,2019,[20-40],11,110
BurtonSP,burton13,prefire,2019,[40-60],4,40
BurtonSP,burton13,prefire,2019,[>100],0,0
BurtonSP,burton13,prefire,2019,[60-80],1,10
BurtonSP,burton13,prefire,2019,[80-100],0,0
BurtonSP,Burton14,postfire,2020,[<20],2,20
BurtonSP,Burton14,postfire,2020,[20-40],6,60
BurtonSP,Burton14,postfire,2020,[40-60],1,10
BurtonSP,Burton14,postfire,2020,[>100],0,0
BurtonSP,Burton14,postfire,2020,[60-80],5,50
BurtonSP,Burton14,postfire,2020,[80-100],0,0
BurtonSP,burton14,prefire,2019,[<20],4,40
BurtonSP,burton14,prefire,2019,[20-40],7,70
BurtonSP,burton14,prefire,2019,[40-60],1,10
BurtonSP,burton14,prefire,2019,[>100],0,0
BurtonSP,burton14,prefire,2019,[60-80],5,50
BurtonSP,burton14,prefire,2019,[80-100],0,0
BurtonSP,burton15,prefire,2019,[<20],0,0
BurtonSP,burton15,prefire,2019,[20-40],3,30
BurtonSP,burton15,prefire,2019,[40-60],3,30
BurtonSP,burton15,prefire,2019,[>100],0,0
BurtonSP,burton15,prefire,2019,[60-80],4,40
BurtonSP,burton15,prefire,2019,[80-100],1,10
BurtonSP,burton16,prefire,2019,[<20],0,0
BurtonSP,burton16,prefire,2019,[20-40],2,20
BurtonSP,burton16,prefire,2019,[40-60],0,0
BurtonSP,burton16,prefire,2019,[>100],0,0
BurtonSP,burton16,prefire,2019,[60-80],3,30
BurtonSP,burton16,prefire,2019,[80-100],0,0
BurtonSP,burton17,prefire,2019,[<20],0,0
BurtonSP,burton17,prefire,2019,[20-40],3,30
BurtonSP,burton17,prefire,2019,[40-60],0,0
BurtonSP,burton17,prefire,2019,[>100],0,0
BurtonSP,burton17,prefire,2019,[60-80],4,40
BurtonSP,burton17,prefire,2019,[80-100],0,0
BurtonSP,burton18,prefire,2019,[<20],6,60
BurtonSP,burton18,prefire,2019,[20-40],12,120
BurtonSP,burton18,prefire,2019,[40-60],6,60
BurtonSP,burton18,prefire,2019,[>100],0,0
BurtonSP,burton18,prefire,2019,[60-80],3,30
BurtonSP,burton18,prefire,2019,[80-100],0,0
BurtonSP,burton19,prefire,2019,[<20],40,400
BurtonSP,burton19,prefire,2019,[20-40],2,20
BurtonSP,burton19,prefire,2019,[40-60],0,0
BurtonSP,burton19,prefire,2019,[>100],0,0
BurtonSP,burton19,prefire,2019,[60-80],2,20
BurtonSP,burton19,prefire,2019,[80-100],1,10
BurtonSP,burton2,prefire,2019,[<20],0,0
BurtonSP,burton2,prefire,2019,[20-40],6,60
BurtonSP,burton2,prefire,2019,[40-60],2,20
BurtonSP,burton2,prefire,2019,[>100],0,0
BurtonSP,burton2,prefire,2019,[60-80],3,30
BurtonSP,burton2,prefire,2019,[80-100],0,0
BurtonSP,burton20,prefire,2019,[<20],1,10
BurtonSP,burton20,prefire,2019,[20-40],1,10
BurtonSP,burton20,prefire,2019,[40-60],6,60
BurtonSP,burton20,prefire,2019,[>100],0,0
BurtonSP,burton20,prefire,2019,[60-80],2,20
BurtonSP,burton20,prefire,2019,[80-100],0,0
BurtonSP,burton21,prefire,2019,[<20],23,230
BurtonSP,burton21,prefire,2019,[20-40],14,140
BurtonSP,burton21,prefire,2019,[40-60],3,30
BurtonSP,burton21,prefire,2019,[>100],0,0
BurtonSP,burton21,prefire,2019,[60-80],1,10
BurtonSP,burton21,prefire,2019,[80-100],2,20
BurtonSP,burton22,prefire,2019,[<20],9,90
BurtonSP,burton22,prefire,2019,[20-40],14,140
BurtonSP,burton22,prefire,2019,[40-60],5,50
BurtonSP,burton22,prefire,2019,[>100],0,0
BurtonSP,burton22,prefire,2019,[60-80],1,10
BurtonSP,burton22,prefire,2019,[80-100],0,0
BurtonSP,burton23,prefire,2019,[<20],6,60
BurtonSP,burton23,prefire,2019,[20-40],3,30
BurtonSP,burton23,prefire,2019,[40-60],5,50
BurtonSP,burton23,prefire,2019,[>100],0,0
BurtonSP,burton23,prefire,2019,[60-80],2,20
BurtonSP,burton23,prefire,2019,[80-100],1,10
BurtonSP,burton24,prefire,2019,[<20],63,630
BurtonSP,burton24,prefire,2019,[20-40],7,70
BurtonSP,burton24,prefire,2019,[40-60],2,20
BurtonSP,burton24,prefire,2019,[>100],0,0
BurtonSP,burton24,prefire,2019,[60-80],2,20
BurtonSP,burton24,prefire,2019,[80-100],1,10
BurtonSP,Burton25,prefire,2020,[<20],0,0
BurtonSP,Burton25,prefire,2020,[20-40],5,50
BurtonSP,Burton25,prefire,2020,[40-60],6,60
BurtonSP,Burton25,prefire,2020,[>100],0,0
BurtonSP,Burton25,prefire,2020,[60-80],1,10
BurtonSP,Burton25,prefire,2020,[80-100],0,0
BurtonSP,Burton26,prefire,2020,[<20],0,0
BurtonSP,Burton26,prefire,2020,[20-40],1,10
BurtonSP,Burton26,prefire,2020,[40-60],2,20
BurtonSP,Burton26,prefire,2020,[>100],0,0
BurtonSP,Burton26,prefire,2020,[60-80],2,20
BurtonSP,Burton26,prefire,2020,[80-100],0,0
BurtonSP,Burton27,prefire,2020,[<20],1,10
BurtonSP,Burton27,prefire,2020,[20-40],7,70
BurtonSP,Burton27,prefire,2020,[40-60],1,10
BurtonSP,Burton27,prefire,2020,[>100],0,0
BurtonSP,Burton27,prefire,2020,[60-80],1,10
BurtonSP,Burton27,prefire,2020,[80-100],0,0
BurtonSP,Burton28,prefire,2020,[<20],0,0
BurtonSP,Burton28,prefire,2020,[20-40],1,10
BurtonSP,Burton28,prefire,2020,[40-60],2,20
BurtonSP,Burton28,prefire,2020,[>100],0,0
BurtonSP,Burton28,prefire,2020,[60-80],2,20
BurtonSP,Burton28,prefire,2020,[80-100],0,0
BurtonSP,burton3,prefire,2019,[<20],10,100
BurtonSP,burton3,prefire,2019,[20-40],19,190
BurtonSP,burton3,prefire,2019,[40-60],5,50
BurtonSP,burton3,prefire,2019,[>100],0,0
BurtonSP,burton3,prefire,2019,[60-80],2,20
BurtonSP,burton3,prefire,2019,[80-100],0,0
BurtonSP,Burton30,prefire,2020,[<20],2,20
BurtonSP,Burton30,prefire,2020,[20-40],4,40
BurtonSP,Burton30,prefire,2020,[40-60],5,50
BurtonSP,Burton30,prefire,2020,[>100],0,0
BurtonSP,Burton30,prefire,2020,[60-80],1,10
BurtonSP,Burton30,prefire,2020,[80-100],0,0
BurtonSP,Burton31,prefire,2020,[<20],1,10
BurtonSP,Burton31,prefire,2020,[20-40],8,80
BurtonSP,Burton31,prefire,2020,[40-60],1,10
BurtonSP,Burton31,prefire,2020,[>100],0,0
BurtonSP,Burton31,prefire,2020,[60-80],3,30
BurtonSP,Burton31,prefire,2020,[80-100],0,0
BurtonSP,Burton32,prefire,2020,[<20],1,10
BurtonSP,Burton32,prefire,2020,[20-40],4,40
BurtonSP,Burton32,prefire,2020,[40-60],6,60
BurtonSP,Burton32,prefire,2020,[>100],0,0
BurtonSP,Burton32,prefire,2020,[60-80],4,40
BurtonSP,Burton32,prefire,2020,[80-100],0,0
BurtonSP,Burton33,prefire,2020,[<20],0,0
BurtonSP,Burton33,prefire,2020,[20-40],0,0
BurtonSP,Burton33,prefire,2020,[40-60],1,10
BurtonSP,Burton33,prefire,2020,[>100],0,0
BurtonSP,Burton33,prefire,2020,[60-80],2,20
BurtonSP,Burton33,prefire,2020,[80-100],0,0
BurtonSP,Burton34,prefire,2020,[<20],0,0
BurtonSP,Burton34,prefire,2020,[20-40],5,50
BurtonSP,Burton34,prefire,2020,[40-60],6,60
BurtonSP,Burton34,prefire,2020,[>100],0,0
BurtonSP,Burton34,prefire,2020,[60-80],5,50
BurtonSP,Burton34,prefire,2020,[80-100],0,0
