site,plotid,pre_post_fire,year,status,BA_m2_acre_plot,n_trees_totalPlot
BlissSP,bliss12,prefire,2019,DEAD,2.3752089797282,7
BlissSP,bliss12,prefire,2019,LIVE,18.4252563447357,5
BlissSP,bliss13,prefire,2019,DEAD,3.07503015924186,2
BlissSP,bliss13,prefire,2019,LIVE,17.6597955137161,11
BlissSP,bliss14,prefire,2019,DEAD,1.8133665495602,2
BlissSP,bliss14,prefire,2019,LIVE,15.1487833375549,9
BlissSP,bliss15,prefire,2019,DEAD,3.69843995143858,2
BlissSP,bliss15,prefire,2019,LIVE,19.1629926205874,14
BlissSP,bliss2,prefire,2019,DEAD,8.91028914936802,3
BlissSP,bliss2,prefire,2019,LIVE,11.3111492331128,10
BlissSP,bliss3 ,prefire,2019,DEAD,4.21002475313078,3
BlissSP,bliss3 ,prefire,2019,LIVE,14.417381297891,15
BlissSP,bliss4,prefire,2019,DEAD,5.62695372573448,3
BlissSP,bliss4,prefire,2019,LIVE,4.85606972039662,4
BlissSP,bliss5,prefire,2019,LIVE,17.9574928335703,8
BlissSP,bliss6,prefire,2019,DEAD,10.9173564844715,1
BlissSP,bliss6,prefire,2019,LIVE,12.055632079188,7
BlissSP,bliss7,prefire,2019,DEAD,2.57910619692781,6
BlissSP,bliss7,prefire,2019,LIVE,29.0919333704049,32
BlissSP,bliss8,prefire,2019,DEAD,3.66803718853347,2
BlissSP,bliss8,prefire,2019,LIVE,8.68329926266912,6
BlissSP,bliss9,prefire,2019,DEAD,1.55441292110643,2
BlissSP,bliss9,prefire,2019,LIVE,4.65908400703491,5
BurtonSP,Burton07,postfire,2020,DEAD,6.38558748321875,5
BurtonSP,Burton07,postfire,2020,LIVE,26.0885413411419,15
BurtonSP,Burton08,postfire,2020,DEAD,3.7068358578053,1
BurtonSP,Burton08,postfire,2020,LIVE,22.0899143576712,6
BurtonSP,Burton09,postfire,2020,DEAD,3.57667182018544,2
BurtonSP,Burton09,postfire,2020,LIVE,10.898314506,8
BurtonSP,burton1,prefire,2019,DEAD,0.0541060794764502,1
BurtonSP,burton1,prefire,2019,LIVE,21.3736606850838,9
BurtonSP,burton10,prefire,2019,DEAD,2.23605213313744,4
BurtonSP,burton10,prefire,2019,LIVE,19.135857114042,14
BurtonSP,burton11,prefire,2019,DEAD,7.16140182552734,3
BurtonSP,burton11,prefire,2019,LIVE,18.342597115029,6
BurtonSP,burton12,prefire,2019,DEAD,4.25870373129815,4
BurtonSP,burton12,prefire,2019,LIVE,8.39062849106069,16
BurtonSP,burton13,prefire,2019,DEAD,1.02045212573904,2
BurtonSP,burton13,prefire,2019,LIVE,20.3951095513621,27
BurtonSP,Burton14,postfire,2020,DEAD,6.95413525020676,5
BurtonSP,Burton14,postfire,2020,LIVE,26.6788681992009,14
BurtonSP,burton14,prefire,2019,DEAD,6.20163741587403,2
BurtonSP,burton14,prefire,2019,LIVE,26.6986680869002,17
BurtonSP,burton15,prefire,2019,DEAD,4.54910470221436,5
BurtonSP,burton15,prefire,2019,LIVE,29.7903643951693,11
BurtonSP,burton16,prefire,2019,LIVE,13.9367568917999,5
BurtonSP,burton17,prefire,2019,DEAD,9.45410472819064,4
BurtonSP,burton17,prefire,2019,LIVE,19.1691187262619,7
BurtonSP,burton18,prefire,2019,DEAD,7.6434792182207,4
BurtonSP,burton18,prefire,2019,LIVE,31.2096652702265,27
BurtonSP,burton19,prefire,2019,DEAD,2.77116746380502,1
BurtonSP,burton19,prefire,2019,LIVE,18.4216160242484,45
BurtonSP,burton2,prefire,2019,DEAD,11.5969065373879,7
BurtonSP,burton2,prefire,2019,LIVE,20.8175516615086,11
BurtonSP,burton20,prefire,2019,DEAD,2.02682991638999,1
BurtonSP,burton20,prefire,2019,LIVE,19.9692980830945,10
BurtonSP,burton21,prefire,2019,DEAD,3.65572999931303,3
BurtonSP,burton21,prefire,2019,LIVE,34.0246029736777,43
BurtonSP,burton22,prefire,2019,DEAD,1.89013136605067,4
BurtonSP,burton22,prefire,2019,LIVE,22.7549482890326,29
BurtonSP,burton23,prefire,2019,LIVE,22.6939071437733,17
BurtonSP,burton24,prefire,2019,DEAD,0.255639248204235,2
BurtonSP,burton24,prefire,2019,LIVE,25.1585651203309,75
BurtonSP,Burton25,prefire,2020,DEAD,3.01556766429104,3
BurtonSP,Burton25,prefire,2020,LIVE,20.371421942754,12
BurtonSP,Burton26,prefire,2020,LIVE,10.5456746576253,5
BurtonSP,Burton27,prefire,2020,LIVE,11.6069949767967,10
