site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
bearmountain,BM10,prefire,2019,[20-40],LIVE,2.82342785759749,3,34.4666666666667,13.9333333333333,12.14058,11.426017259797
bearmountain,BM10,prefire,2019,[40-60],LIVE,5.83319928344265,3,49.4,29,12.14058,23.6061408521927
bearmountain,BM10,prefire,2019,[60-80],LIVE,4.82749693521222,1,78.4,42,4.04686,19.5362042472329
bearmountain,BM11,prefire,2019,[<20],DEAD,0.97309261648617,6,14.1666666666667,4.83333333333333,24.28116,3.93796958595322
bearmountain,BM11,prefire,2019,[<20],LIVE,0.506377611868871,2,17.9,5.5,8.09372,2.04923930236766
bearmountain,BM11,prefire,2019,[20-40],DEAD,0.526852941988642,1,25.9,8,4.04686,2.13210009681616
bearmountain,BM11,prefire,2019,[20-40],LIVE,0.624580035460187,1,28.2,9,4.04686,2.52758796230241
bearmountain,BM12,prefire,2019,[<20],DEAD,0.226980069221863,1,17,7,4.04686,0.918556562931187
bearmountain,BM12,prefire,2019,[>100],DEAD,19.6054623839006,2,111.55,3.5,8.09372,79.3405615029121
bearmountain,BM12,prefire,2019,[>100],LIVE,7.90117620961304,1,100.3,40,4.04686,31.9749539556346
bearmountain,BM12,prefire,2019,[20-40],DEAD,0.69746498502347,1,29.8,19,4.04686,2.82254314929208
bearmountain,BM12,prefire,2019,[40-60],DEAD,1.35265198691126,1,41.5,10,4.04686,5.47399321975168
bearmountain,BM12,prefire,2019,[80-100],LIVE,5.37156580494254,1,82.7,35,4.04686,21.7379747933897
bearmountain,BM13,prefire,2019,[<20],DEAD,0.0968317395652714,2,7.85,4,8.09372,0.391864493577114
bearmountain,BM13,prefire,2019,[20-40],DEAD,1.58773736517938,2,31.25,18.5,8.09372,6.42535083364982
bearmountain,BM13,prefire,2019,[20-40],LIVE,1.74628569242442,3,27.2,9.66666666666667,12.14058,7.0669737172447
bearmountain,BM13,prefire,2019,[40-60],DEAD,1.43200861734093,1,42.7,3,4.04686,5.79513839317233
bearmountain,BM13,prefire,2019,[40-60],LIVE,1.3267024315926,1,41.1,19,4.04686,5.36897900231484
bearmountain,BM14,prefire,2019,[<20],DEAD,0.510493098245074,3,14.3333333333333,5.33333333333333,12.14058,2.06589409956406
bearmountain,BM14,prefire,2019,[20-40],DEAD,2.29337834508382,5,24.04,7.2,20.2343,9.28098108958589
bearmountain,BM14,prefire,2019,[20-40],LIVE,1.91199685091965,3,27.9666666666667,9,12.14058,7.73758357611269
bearmountain,BM15,prefire,2019,[<20],DEAD,0.397505718458717,2,15.9,5,8.09372,1.60864999180184
bearmountain,BM15,prefire,2019,[<20],LIVE,0.0580880481648753,1,8.6,5.1,4.04686,0.235074198596507
bearmountain,BM15,prefire,2019,[20-40],DEAD,0.387075630848798,1,22.2,2,4.04686,1.56644088745677
bearmountain,BM15,prefire,2019,[20-40],LIVE,2.36346727718541,3,31.5333333333333,13.7666666666667,12.14058,9.56462118535053
bearmountain,BM15,prefire,2019,[40-60],DEAD,4.39468756930879,2,52.85,9,8.09372,17.784685336733
bearmountain,BM15,prefire,2019,[40-60],LIVE,1.87805194229761,1,48.9,27,4.04686,7.60021328320652
bearmountain,BM16,prefire,2019,[20-40],DEAD,2.85650882823979,4,29.35,9.3625,16.18744,11.5598913166505
bearmountain,BM16,prefire,2019,[20-40],LIVE,2.15671121067103,2,37.05,15.5,8.09372,8.72790833001615
bearmountain,BM16,prefire,2019,[40-60],LIVE,7.16087560875787,4,47.425,23.75,16.18744,28.9790610660579
bearmountain,BM16,prefire,2019,[60-80],LIVE,2.83686602017322,1,60.1,30,4.04686,11.4803996223982
bearmountain,BM17,prefire,2019,[40-60],DEAD,2.34998199071987,1,54.7,3.5,4.04686,9.51004811896462
bearmountain,BM18,prefire,2019,[<20],DEAD,0.219039693789914,1,16.7,6,4.04686,0.886422975210653
bearmountain,BM18,prefire,2019,[<20],LIVE,0.580424950713982,4,13.5,7,16.18744,2.34889851604639
bearmountain,BM18,prefire,2019,[20-40],DEAD,3.41747161246478,5,28.88,13.6,20.2343,13.8300291696192
bearmountain,BM18,prefire,2019,[20-40],LIVE,3.08807562273589,3,36.0666666666667,17.6666666666667,12.14058,12.497009714625
bearmountain,BM18,prefire,2019,[40-60],DEAD,2.41922269280499,1,55.5,20,4.04686,9.7902555466048
bearmountain,BM18,prefire,2019,[40-60],LIVE,2.84078515700857,2,42.5,15.5,8.09372,11.4962598204917
bearmountain,BM18,prefire,2019,[60-80],LIVE,6.20642049068912,2,62.8,21.5,8.09372,25.1165148269502
