site,plotid,pre_post_fire,year,species,status,BA_m2_sum,n_trees,n_trees_acre,BA_m2_acre,n_trees_ha,BA_m2_ha
caples,104,prefire,2013-2018,PIJE,LIVE,1.98803910109979,2,20,19.8803910109979,8.09372,8.0453159166767
caples,105,postfire,2020,ABCO,DEAD,1.01362544490279,12,120,10.1362544490279,48.56232,4.10200026795929
caples,105,postfire,2020,ABCO,LIVE,4.76914656406077,22,220,47.6914656406077,89.03092,19.300068464235
caples,105,postfire,2020,ABCO,M,0.0983962527067591,4,40,0.983962527067591,16.18744,0.398195859228875
caples,105,postfire,2020,CADE27,DEAD,0.321216853255269,20,200,3.21216853255269,80.9372,1.29991963476462
caples,105,postfire,2020,CADE27,LIVE,0.327796919068213,12,120,3.27796919068213,48.56232,1.32654823990039
caples,105,postfire,2020,CADE27,M,0.314137274210404,28,280,3.14137274210404,113.31208,1.27126956951112
caples,105,prefire,2013-2018,ABCO,DEAD,1.54506825375832,6,60,15.4506825375832,24.28116,6.25267491340441
caples,105,prefire,2013-2018,ABCO,LIVE,5.76595820508154,34,340,57.6595820508154,137.59324,23.3340256218163
caples,105,prefire,2013-2018,CADE27,DEAD,0.0330652626790326,4,40,0.330652626790326,16.18744,0.13381048892527
caples,105,prefire,2013-2018,CADE27,LIVE,0.918438329091669,52,520,9.18438329091669,210.43672,3.71679133646791
caples,105,prefire,2013-2018,CADE27,M,0.00931325142156694,2,20,0.0931325142156694,8.09372,0.0376894246478824
caples,106,prefire,2013-2018,ABCO,DEAD,2.63750683356172,6,60,26.3750683356172,24.28116,10.6736209044676
caples,106,prefire,2013-2018,ABCO,LIVE,2.37945484219952,32,320,23.7945484219952,129.49952,9.62932062270357
caples,106,prefire,2013-2018,ABCO,M,0.0344067227421154,2,20,0.344067227421154,8.09372,0.139239189996157
caples,106,prefire,2013-2018,CADE27,LIVE,6.05444908766437,10,100,60.5444908766437,40.4686,24.5015078349054
caples,106,prefire,2013-2018,PIJE,LIVE,0.0561104155894405,2,20,0.561104155894405,8.09372,0.227070996432283
caples,107,prefire,2013-2018,ABCO,DEAD,0.064646122829244,6,60,0.64646122829244,24.28116,0.261613808632754
caples,107,prefire,2013-2018,ABCO,LIVE,6.61961375206354,94,940,66.1961375206354,380.40484,26.7886501086758
caples,107,prefire,2013-2018,ABCO,M,0.588332339423068,2,20,5.88332339423068,8.09372,2.38089861111764
caples,107,prefire,2013-2018,PIJE,LIVE,1.05105752137031,2,20,10.5105752137031,8.09372,4.25348264093265
caples,108,prefire,2013-2018,ABCO,DEAD,2.09531820703458,12,120,20.9531820703458,48.56232,8.47945943931994
caples,108,prefire,2013-2018,ABCO,LIVE,3.93002088310163,48,480,39.3002088310163,194.24928,15.9042443109887
caples,108,prefire,2013-2018,PIJE,LIVE,1.19167049615601,2,20,11.9167049615601,8.09372,4.8225236640739
caples,109,prefire,2013-2018,ABCO,DEAD,2.11803820510534,6,60,21.1803820510534,24.28116,8.57140409071258
caples,109,prefire,2013-2018,ABCO,LIVE,2.9207308360608,26,260,29.207308360608,105.21836,11.819788791221
caples,109,prefire,2013-2018,ABCO,M,2.1879323584624,6,60,21.879323584624,24.28116,8.85425594416716
