site,plotid,year,postFire,species,status,avg_scorch_ht_m,avg_scorch_percent,avg_torch_ht_m,avg_torch_percent,avg_bolechar_m
caples,19,2020,1yr,JUOC,LIVE,,,,,0
caples,19,2020,1yr,PIJE,LIVE,,,,,0
caples,2,2020,1yr,CADE27,LIVE,,,,,0
caples,2,2020,1yr,PIJE,LIVE,,,,,0
caples,20,2020,1yr,PIJE,LIVE,,,,,0
caples,21,2020,1yr,ABCO,LIVE,,,,,0
caples,21,2020,1yr,CADE27,LIVE,,,,,0
caples,21,2020,1yr,PIJE,LIVE,,,,,0
caples,23,2020,1yr,ABCO,LIVE,,,,,0
caples,23,2020,1yr,CADE27,LIVE,,,,,0
caples,23,2020,1yr,PIJE,LIVE,,,,,0
caples,24,2020,1yr,CADE27,LIVE,,,,,0
caples,25,2020,1yr,JUOC,LIVE,,,,,0
caples,25,2020,1yr,PIJE,LIVE,,,,,0
caples,26,2020,1yr,CADE27,LIVE,,,,,0
caples,26,2020,1yr,JUOC,LIVE,,,,,0
caples,26,2020,1yr,PIJE,LIVE,,,,,0
caples,27,2020,1yr,PIJE,LIVE,,,,,0
caples,29,2020,1yr,ABCO,LIVE,,,,,0
caples,29,2020,1yr,CADE27,LIVE,,,,,0
caples,30,2020,1yr,PIJE,LIVE,,,,,0
caples,32,2020,1yr,ABCO,LIVE,,,,,0
caples,32,2020,1yr,CADE27,LIVE,,,,,0
caples,32,2020,1yr,PICO,LIVE,,,,,0
caples,32,2020,1yr,PIJE,LIVE,,,,,0
caples,32,2020,1yr,PILA,LIVE,,,,,0
caples,32,2020,1yr,POTR5,LIVE,,,,,0
caples,33,2020,1yr,ABCO,LIVE,,,,,0
caples,33,2020,1yr,CADE27,LIVE,,,,,0
caples,33,2020,1yr,PICO,LIVE,,,,,0
caples,34,2020,1yr,CADE27,LIVE,,,,,0
caples,40,2020,1yr,ABMA,LIVE,,,,,0
caples,40,2020,1yr,JUOC,LIVE,,,,,0
caples,40,2020,1yr,PIJE,LIVE,,,,,0
caples,5,2020,1yr,ABCO,LIVE,,,,,0
caples,5,2020,1yr,CADE27,LIVE,,,,,0
caples,5,2020,1yr,PIJE,LIVE,,,,,0
caples,6,2020,1yr,CADE27,LIVE,,,,,0
caples,6,2020,1yr,PIJE,LIVE,,,,,0
caples,65,2020,1yr,ABCO,LIVE,,,,,0
caples,65,2020,1yr,CADE27,LIVE,,,,,0
caples,7,2020,1yr,CADE27,LIVE,,,,,0
caples,7,2020,1yr,PIJE,LIVE,,,,,0
caples,75,2020,1yr,ABCO,LIVE,,,,,0
caples,75,2020,1yr,ABMA,LIVE,,,,,0
caples,76,2020,1yr,ABCO,LIVE,,,,,0
caples,76,2020,1yr,ABMA,LIVE,,,,,0
caples,76,2020,1yr,PIJE,LIVE,,,,,0
caples,77,2020,1yr,ABCO,LIVE,,,,,0
caples,77,2020,1yr,ABMA,LIVE,,,,,0
caples,8,2020,1yr,CADE27,LIVE,,,,,0
caples,8,2020,1yr,PIJE,LIVE,,,,,0
caples,82,2020,1yr,CADE27,LIVE,,,,,0
caples,82,2020,1yr,PIJE,LIVE,,,,,0
caples,82,2020,1yr,PILA,LIVE,,,,,0
caples,99,2020,1yr,CADE27,LIVE,,,,,0
caples,99,2020,1yr,PIJE,LIVE,,,,,0
springsfire,springs01,2020,1yr,PIJE,LIVE,7.22727272727273,24.1818181818182,3.18181818181818,4.81818181818182,2.95454545454545
springsfire,springs02,2020,1yr,PIJE ,LIVE,,17,,4,
springsfire,springs03,2020,1yr,PIJE,LIVE,9.5,56.5,4.5,12.5,8.5
springsfire,springs03,2020,1yr,PIJE ,LIVE,8.625,43.75,2.7375,10.625,5.0625
springsfire,springs04,2020,1yr,PIJE ,LIVE,2.93333333333333,4.33333333333333,2.7,2,1.23333333333333
springsfire,springs05,2020,1yr,PIJE ,LIVE,7.9,6.2,4.64,3.6,3.64
springsfire,springs06,2020,1yr,PICO,LIVE,4.52307692307692,46.9615384615385,1.90384615384615,14.6153846153846,
springsfire,springs07,2020,1yr,PICO,LIVE,,,,,
springsfire,springs08,2020,1yr,PICO,LIVE,10.85,46.25,2.975,17.5,1.425
springsfire,springs08,2020,1yr,PIJE,LIVE,10.3,80.625,2.7125,20.625,2.775
springsfire,springs09,2020,1yr,PICO,LIVE,,21.8,,1,
springsfire,springs10,2020,1yr,PICO,LIVE,4.27,16.3,,3.5,
springsfire,springs10,2020,1yr,PIJE,LIVE,3.05,5.5,,2.5,1.1
springsfire,springs11,2020,1yr,PIJE,LIVE,5.84,51,5.84,51,3.6
springsfire,springs12,2020,1yr,PIJE,LIVE,6.88888888888889,53.3333333333333,4.86666666666667,40,4.04444444444444
springsfire,springs13,2020,1yr,PIJE,LIVE,3.98,54,0.754,8,1.66
springsfire,springs14,2020,1yr,PIJE,LIVE,6.35,58,6.23,55,4.08
springsfire,springs15,2020,1yr,PICO,LIVE,6,27.3333333333333,0.933333333333333,1.33333333333333,1.66666666666667
springsfire,springs15,2020,1yr,PIJE,LIVE,6,46.6666666666667,4.73333333333333,20,4.33333333333333
springsfire,springs16,2020,1yr,PIJE,LIVE,,24,,24,
springsfire,springs17,2020,1yr,PIJE,LIVE,3.9,10,3.23333333333333,8.33333333333333,3.43333333333333
springsfire,springs18,2020,1yr,PIJE,LIVE,4.93333333333333,46.1111111111111,4.1,39.7777777777778,2.51666666666667
springsfire,springs19,2020,1yr,PIJE,LIVE,5.25,27.5,2.65,20,1.75
springsfire,springs19,2020,1yr,PIJE ,LIVE,3.875,11.25,2.825,8.25,0.5
springsfire,springs20,2020,1yr,PIJE,LIVE,4.5,40,2.75,27.5,0.95
springsfire,springs20,2020,1yr,PIJE ,LIVE,4.93333333333333,23.3333333333333,3.43333333333333,16.6666666666667,2.83333333333333
springsfire,springs21,2020,1yr,PIJE,LIVE,13.975,81.875,3,21.25,5.1125
springsfire,springs22,2020,1yr,PIJE,LIVE,,,,,
springsfire,springs23,2020,1yr,PIJE,LIVE,,1.66666666666667,,0.833333333333333,2.83333333333333
springsfire,springs24,2020,1yr,PIJE,LIVE,8.5,32.5,2.25,17.5,2.35
springsfire,springs24,2020,1yr,PIJE ,LIVE,13,41.6666666666667,4,3.66666666666667,4.5
springsfire,springs25,2020,1yr,PIJE,LIVE,7.4,23.3333333333333,2.1,16,5.5
springsfire,springs26,2020,1yr,PICO,LIVE,8.7,68,4.36,34.4,1.46
springsfire,springs26,2020,1yr,PIJE,LIVE,7.64,60.5,4.29,34.5,1.84
springsfire,springs27,2020,1yr,PICO,LIVE,5.83333333333333,36.6666666666667,1.33333333333333,7,1.4
springsfire,springs27,2020,1yr,PIJE,LIVE,5.06923076923077,56.5384615384615,3.5,33.6923076923077,1.23846153846154
springsfire,springs28,2020,1yr,PIJE,LIVE,5.83913043478261,41.6521739130435,2.6,11.5217391304348,1.66086956521739
springsfire,springs29,2020,1yr,PIJE,LIVE,7,42,5,6,3.54
springsfire,springs30,2020,1yr,PICO,LIVE,7.5,40,4,10,1.3
springsfire,springs30,2020,1yr,PIJE,LIVE,6.9125,63.5,,8.4375,2.76875
springsfire,springs30,2020,1yr,PIJE ,LIVE,6.2,53.3333333333333,2.76666666666667,25,3.43333333333333
springsfire,springs37,2020,1yr,PICO,LIVE,3.9,27.5,0.8,,
springsfire,springs37,2020,1yr,PIJE,LIVE,7.61818181818182,46.9090909090909,,,
springsfire,springs38,2020,1yr,PIJE,LIVE,9.35,55,9.35,55,3.6875
springsfire,springs39,2020,1yr,PICO,LIVE,6.5,70,6.5,70,
springsfire,springs39,2020,1yr,PIJE,LIVE,5.1,16.6666666666667,4.86666666666667,16.6666666666667,2.16666666666667
springsfire,springs40,2020,1yr,PICO,LIVE,4.05,58.75,,,
springsfire,springs40,2020,1yr,PIJE,LIVE,4.2,45,,,3.1
