plotid_time,status,species,BA_m2_sum,n_trees,mean_dbh_cm,max_dbh_cm,min_dbh_cm,mean_ht2c,mean_ht,mean_ht2d,n_trees_ha,BA_m2_ha
BigTrees14 prefire ,live,ABCO,0.0608290877551324,2,19.4,22.7,16.1,5.65,10.05,0.2,8.09372,0.246166802072735
BigTrees14 prefire ,live,CADE,0.697781500483319,3,48.6333333333333,78.9,19.1,14,18.0333333333333,4.36666666666667,12.14058,2.82382404304593
BigTrees14 prefire ,live,PIPO,0.972474508131577,3,63.5,71.7,49.8,17.7333333333333,33.2666666666667,,12.14058,3.93546818797735
BigTrees15 prefire ,dead,ABCO,0.55417694409324,1,84,84,84,,47,7,4.04686,2.24267650797317
BigTrees15 prefire ,live,ABCO,2.16232994913197,8,56.525,81.2,32.2,12.275,38.7375,,32.37488,8.75064657794421
BigTrees15 prefire ,live,CADE,0.188342406573525,5,21.58,26.2,17,1.66,8.4,0.24,20.2343,0.762195351466136
BigTrees15 prefire ,live,PILA,0.00528101725068444,1,8.2,8.2,8.2,1.5,5,0,4.04686,0.0213715374711048
BigTrees17 prefire ,live,ABCO,1.0972986236385,1,118.2,118.2,118.2,18.8,45.6,13.8,4.04686,4.44061390805769
BigTrees17 prefire ,live,CADE,1.08548427176559,7,41.4428571428571,73.5,24.65,10.1857142857143,17.9142857142857,1.48571428571429,28.32802,4.3928028800373
BigTrees17 prefire ,live,PILA,1.02967662716814,1,114.5,114.5,114.5,35.5,50.2,8,4.04686,4.16695715542166
BigTrees18  prefire ,live,ABCO,0.282743338823081,1,60,60,60,4.2,32,1.3,4.04686,1.14422270814958
BigTrees18  prefire ,live,CADE,0.00899202357273738,1,10.7,10.7,10.7,1.8,5.5,0,4.04686,0.036389460515568
BigTrees18 prefire ,dead,ABCO,1.0272764503808,2,80.35,89.5,71.2,,27.5,,8.09372,4.15724397598803
BigTrees18 prefire ,live,ABCO,1.66743878540279,3,84.1,86.8,82,14.6666666666667,42.6666666666667,,12.14058,6.74789132309513
BigTrees18 prefire ,live,CADE,0.0862846276290071,2,20.45,31.9,9,1.85,8,0.5,8.09372,0.349181808166723
BigTrees19 prefire ,dead,ABCO,0.688754133993229,2,65.65,74.3,57,,31,,8.09372,2.78729155469184
BigTrees19 prefire ,dead,PIPO,2.54469004940773,1,180,180,180,,50,,4.04686,10.2980043733462
BigTrees19 prefire ,live,ABCO,0.291123537226532,3,32.8,47,16.3,5,18.3333333333333,,12.14058,1.17813619786056
BigTrees19 prefire ,live,CADE,0.0323654729154455,1,20.3,20.3,20.3,4.5,8.3,3.2,4.04686,0.1309785377226
BigTrees20 prefire ,live,ABCO,0.345080391051937,3,38.0666666666667,43.5,34.3,6.83333333333333,18,3,12.14058,1.39649203133244
BigTrees20 prefire ,live,CADE,2.63825767420592,3,105.133333333333,119.7,90.3,16.3333333333333,31.6666666666667,10.1666666666667,12.14058,10.676659451437
BigTrees20 prefire ,live,PIPO,1.19209618196057,1,123.2,123.2,123.2,30,46,17,4.04686,4.82424635492895
BigTrees21 prefire ,dead,ABCO,0.8610453583014,2,67.35,98.1,36.6,,25.05,,8.09372,3.4845300186956
BigTrees21 prefire ,dead,OTHER,0.169093082986817,1,46.4,46.4,46.4,,24,,4.04686,0.68429603381603
BigTrees21 prefire ,live,ABCO,0.268008483879582,4,29.175,31.1,27.5,4.75,17.5,,16.18744,1.08459281307292
BigTrees21 prefire ,live,PILA,1.31306713407786,1,129.3,129.3,129.3,11,26,10,4.04686,5.31379886221433
BigTrees22 prefire ,dead,ABCO,0.350463510063863,1,66.8,66.8,66.8,,28.5,6,4.04686,1.41827676033704
BigTrees22 prefire ,live,ABCO,1.40741308845598,3,72.9333333333333,102.2,39.9,13.6666666666667,42.5,8.13333333333333,12.14058,5.69560373114896
BigTrees22 prefire ,live,PILA,4.07565412294776,1,227.8,227.8,227.8,3.2,64.3,11.5,4.04686,16.4936016439924
BigTrees23 prefire ,dead,ABCO,0.242794846640034,1,55.6,55.6,55.6,,9,,4.04686,0.982556753073686
BigTrees23 prefire ,dead,PILA,0.406020219948108,1,71.9,71.9,71.9,,23,,4.04686,1.6431069872992
