site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
caples,76,postfire,NA,mass_100hr,3.32038097560976
caples,76,postfire,NA,total_fine,5.14858755292683
caples,76,postfire,NA,total_cwd,0
caples,76,postfire,NA,total_fuel,5.14858755292683
caples,76,postfire,NA,litter_depth_cm,4.875
caples,76,postfire,NA,duff_depth_cm,4
caples,76,postfire,NA,fuel_depth_cm,5.79166666666667
caples,76,prefire,NA,mass_1hr,0.287020468536585
caples,76,prefire,NA,mass_10hr,1.66885235121951
caples,76,prefire,NA,mass_100hr,2.76698414634146
caples,76,prefire,NA,total_fine,4.72285696609756
caples,76,prefire,NA,total_cwd,7.88939557657026
caples,76,prefire,NA,total_fuel,12.6122525426678
caples,76,prefire,NA,litter_depth_cm,12.875
caples,76,prefire,NA,duff_depth_cm,5.625
caples,76,prefire,NA,fuel_depth_cm,13.4625
caples,77,postfire,1yr,mass_1hr,0.406915094634146
caples,77,postfire,1yr,mass_10hr,1.18210374878049
caples,77,postfire,1yr,mass_100hr,0.830095243902439
caples,77,postfire,1yr,total_fine,2.41911408731707
caples,77,postfire,1yr,total_cwd,0
caples,77,postfire,1yr,total_fuel,2.41911408731707
caples,77,postfire,1yr,litter_depth_cm,9.25
caples,77,postfire,1yr,duff_depth_cm,3.08333333333334
caples,77,postfire,1yr,fuel_depth_cm,11.1083333333333
caples,77,postfire,NA,mass_1hr,0.406915094634146
caples,77,postfire,NA,mass_10hr,1.18210374878049
caples,77,postfire,NA,mass_100hr,0.830095243902439
caples,77,postfire,NA,total_fine,2.41911408731707
caples,77,postfire,NA,total_cwd,0
caples,77,postfire,NA,total_fuel,2.41911408731707
caples,77,postfire,NA,litter_depth_cm,10.5
caples,77,postfire,NA,duff_depth_cm,3.875
caples,77,postfire,NA,fuel_depth_cm,11.1083333333333
caples,77,prefire,NA,mass_1hr,0.265221445609756
caples,77,prefire,NA,mass_10hr,2.01652992439024
caples,77,prefire,NA,mass_100hr,2.76698414634146
caples,77,prefire,NA,total_fine,5.04873551634146
caples,77,prefire,NA,total_cwd,2.44903696848694
caples,77,prefire,NA,total_fuel,7.49777248482841
caples,77,prefire,NA,litter_depth_cm,4.125
caples,77,prefire,NA,duff_depth_cm,7.25
caples,77,prefire,NA,fuel_depth_cm,12.45
caples,8,postfire,1yr,mass_1hr,0.0871960917073171
caples,8,postfire,1yr,mass_10hr,0.556284117073171
caples,8,postfire,1yr,mass_100hr,1.10679365853659
caples,8,postfire,1yr,total_fine,1.75027386731707
caples,8,postfire,1yr,total_cwd,7.24054267618174
caples,8,postfire,1yr,total_fuel,8.99081654349881
caples,8,postfire,1yr,litter_depth_cm,1.16666666666667
caples,8,postfire,1yr,duff_depth_cm,0
caples,8,postfire,1yr,fuel_depth_cm,1.5
caples,8,postfire,NA,mass_1hr,0.0871960917073171
caples,8,postfire,NA,mass_10hr,0.556284117073171
caples,8,postfire,NA,mass_100hr,1.10679365853659
caples,8,postfire,NA,total_fine,1.75027386731707
caples,8,postfire,NA,total_cwd,0
caples,8,postfire,NA,total_fuel,1.75027386731707
caples,8,postfire,NA,litter_depth_cm,1.5
caples,8,postfire,NA,duff_depth_cm,0
caples,8,postfire,NA,fuel_depth_cm,1.5
caples,8,prefire,immediate,mass_1hr,0
caples,8,prefire,immediate,mass_10hr,0.0695355146341463
caples,8,prefire,immediate,mass_100hr,0
caples,8,prefire,immediate,total_fine,0.0695355146341463
caples,8,prefire,immediate,total_cwd,11.4487525294086
caples,8,prefire,immediate,total_fuel,11.5182880440427
caples,8,prefire,immediate,litter_depth_cm,0
caples,8,prefire,immediate,duff_depth_cm,0
caples,8,prefire,immediate,fuel_depth_cm,1.225
caples,8,prefire,NA,mass_1hr,0.181658524390244
caples,8,prefire,NA,mass_10hr,1.36753178780488
caples,8,prefire,NA,mass_100hr,2.21358731707317
caples,8,prefire,NA,total_fine,3.76277762926829
caples,8,prefire,NA,total_cwd,9.63499136628534
caples,8,prefire,NA,total_fuel,13.3977689955536
