Lifeform,CODE,Genus,Species,epithet,Var/Ssp,Rare?,Alt Code,Family,Klamath,Concow,Henry Coe,Sly Park,Burton,Wilder Ranch,Valentine,Shaver Lake,Healsburg,Bear Mnt2021,Stanislaus,SpringsFire,FrenchMeadows,SlyPark,Burton/Bliss SP,Notes
FERN,BOMU,Botrychium,multifidum ,(S.G. Gmel.) Trevis.,,,,,,,,,,,,,,,,,,,,
GR,BRADIS,Brachypodium,distachyon,,,,,,,,,,,,,,x,,,,,,,
GR,BRIMAX,Briza,maxima,,,,,,,,,,,,,,x,,,,,,,
GR,BRIMIN,Briza,minor,,,,,,,,,,,,,,x,,,,,,,
FB,BROELE,Brodiaea,elegens,,,,,,,,,,,,,,,x,,,,,,
FB,brodiaea,brodiaea,unk species,,,,,,,,,,,,,,,,,,,,,
GR,BROCAR,Bromus,carinatus,,,,BROCAR,,x,,x,x,,,,x,,x,,,x,x,,
GR,BROCARCAR,Bromus,carinatus,,var carinatus,,,,,,,,,,x,,,,,,,,,
GR,BROCIL,Bromus,ciliatus,,,,,,,,,,,x,,,,,,,,,,
GR,BRODIA,Bromus,diandrus,,,,BRDI,,x,x,x,,,,,,x,,,,,x,,
GR,BROLAE,Bromus,laevipes,,,,,,,,,,,,,,,,,,,x,,
GR,BROMAD,Bromus,madritensis,,,,BROMAD,,,,x,,,,,,,x,,,,x,,
GR,BROORC,Bromus,orcittianus,,,,,,,,,,,,,,,x,,,,,,
GR,BRORUB,Bromus,rubens,,,,,,,,,,,,,,,,,,,x,,
GR,BROTEC,Bromus,tectorum,,,,,,,x,,,,,,x,,,,,,,,
GR,BROTEC,Bromus,tridentata,,,,,,,,,,,,,,,,,,,x,,
GR,CABR,Calamagrostis,breweri,,,,,,,,,,,,,,,,,,,,,
GR,CALCAN,Calamagrostis,canadensis,,,,,,,,,,,,x,,,,,,,,,
GR,Calamagrostis,Calamagrostis,unk species,,,,,,,,,,,,,,,,,,,,,
TR,CADE,Calocedrus,decurrens,,,,,Cupressaceae,,x,,x,x,x,,x,x,x,,,x,x,x,
FB,CALCOE,Calochortus ,coeruleus,,,,,,,,,,,,,,,,,,x,,,
FB,CALLONLON,Calochortus ,longebarbatus,S. Watson,var. longebarbatus,rare plant 1B.2,,,,,,,,,,,,,,,,,,
FB,CALMON,Calochortus ,monophyllus,,,,,,,,,,,,,,,,,,,,,
FB,CALOCHORTUS,Calochortus ,,,,,,,,,,,,,,,,,,,,,,
SH,CALCOCC,Calycanthus,occidentalis,,,,,,,,,,,,,,x,,,,,,,
FB,CALUMB,Calyptridium,umbellatum,,,,,Montiaceae,,,,,,,,x,,,,x,x,,x,
FB,CALCOL,Calystegia,collina,,,,,,,,,,,,,,,x,,,,,,
FB,CALMALMAL,Calystegia,malacophylla,,subsp. Malacophylla,,,,,,,,,,,,,,,,,,,
FB,CALOCC,Calystegia,occidentalis,,,,,,,x,,,,,,x,x,,,,,x,,
FB,CALYSTEGIA,Calystegia,,,,,,,,,,,,,,,,,,,,,,
FB,CAMPRE,Campanula,prenanthoides,,,,,,,,,,,,,,,,,,,,,
FB,CAPR,Campanula,prenathoides,,,,CAMPRE,,x,,,,,,,,,,,,x,x,,might actually be ASPR
FB,CARBRE,Cardamine,breweri,,,,,,,,,,,,x,,,,,,,,,
FB,CAROLI,Cardamine,oligosperma,,,,,,,,,x,,,,,,,,,,,,
FB,Cardamine,Cardamine,,,,,,,,,,,,,,,,,,,,,,
FB,CARPYCPYC,Carduus,pycnocephalus,,ssp pycnocephalus,,,,,,,,,,,,x,,,,,,,
GR,CARAQU,Carex,aquatalis,,,,,,,,,,,,,,,,,,,,,
GR,CARARC,Carex,arcta,,,,,,,,,,,,x,,,,,,,,,
GR,CAAT3,Carex,athrostachya,,,,,,,,,,,,,,,,,,,,,
GR,CARBRA,Carex,brainerdii,Mack.,,,,,,,,,,,,,,,,,,,,
GR,CACA11,Carex,canescens,,,,,,,,,,,,,,,,,,,,,
GR,CARDOU,Carex,douglasii,,,,,,,,,,,,,,,,,,,,,
FB,CARFRA,Carex,fracta,,,,,,,,,,,,,,,x,,,,,,
GR,CARINT,Carex,integra,Mack.,,,,,,,,,,,,,,,,,,,,
GR,CARMUL,Carex,multicaulis,,,,,,,x,,,,,,x,,,,,,,,
GR,CANE2,Carex,nebrascensis,Dewey,,,,,,,,,,,,,,,,,,,,
GR,CARROS,Carex,rossii,,,,,,,,,,,,x,,,,,,,,,
GR,CAREX,Carex,unk species,,,,,,,,,,,,,,,,,,,,,
GR,CAVE6,Carex,vesicaria,,,,,,,,,,,,,,,,,,,,,
FB,CASAPP,Castilleja,applegatei,Fernald,,,,,,,,,x,,,,,,,x,x,,,
FB,CASAPPPIN,Castilleja,applegatei,,ssp pinetorum,,,,,,,,,,x,,,,,,,,,
FB,CASMIN,Castilleja,miniata,Douglas ex Hook.,,,,,,,,,,,,,,,,,,,,
FB,CASTILLEJA,Castilleja,,,,,,,,,,,,,,,,,,,,,,
SH,CEAARC,Ceanothus,arcuatus,McMinn,,,,,,,,,,,,,,,,,,,,
SH,CEACOR,Ceanothus,cordulatus,,,,CECO,,,x,,,x,,x,x,,x,,,x,,x,
SH,CEACUN,Ceanothus,cuneatus,,,,,,,,,,,,,,,,,,,,,
SH,CEAINT,Ceanothus,integerrimus,,,,CEIN,,x,x,,x,,,,x,,x,,,x,x,x,
SH,CEAPAR,Ceanothus,parvifolius,,,,,,,,,,,,,x,,,,,,,,
SH,CEAPRO,Ceanothus,prostratus,,,,CEPR,,,,,x,x,,,,,,,,,,x,
SH,CEATHY,Ceanothus,thrysiflorus,,,,,,,,,,,x,,,,,,,,,,
SH,CEVE,Ceanothus,velutinus,,,,CEAVEL,,,,,,x,,,,,,,,,,x,
SH,CEANOTHUS,Ceanothus,,,,,,,,,,,,,,,,,,,,,,
FB,CERFON,Cerastium,fontanum,,ssp vulgare,,,,,,,,,,,,,,,,,,,
SH,CERBET,Cercocarpus,betuloides,,,,,,,,,,,,,,,x,,,,,,
SH,CERLED,Cercocarpus,ledifolius,,,,,,,,,,,,,,,,,,,,,
FB,SPINYSTER,Cersium,species,,,,,,,,,,,,,,,,,,,,,spi2/5
FB,CHANEV,Chaenactis,nevadensis,(Kellogg) A. Gray,,,,,,,,,,,,,,,,,,,,
FB,CHAENACTIS,Chaenactis,unk species,,,,,,,,,,,,,,,,,,,,,
FB,CHAFOL,Chamaebatia,foliolosa,,,,CHAFOL,,,,,x,,,,x,,x,,,,x,,bear clover
SH,CHAMIL,Chamaebatiaria,millefolium,,,,,,,,,,,,,,,,,,,,,
FB,CHAANG,Chamerion,angustifolium,,,,EPIANG,,,,,,,,,,,,,,,,,
FB,CHAANG,Chamerion,angustifolium,,,,,,,x,,,,,,,,,,,,,,
