site,plotid,tag,status,species,dbh,ht,ht2crown,ht2deadcr,crownclass,crownwidth,bolechar,health,stumpdbh,stumpht,decay,scorch_ht,scorch,torch_ht,torch,resprout,notes
springsfire,springs6,37,live,pico,39,10.9,2.3,,IN,2.7,,,,,,,,,,,
springsfire,springs6,38,live,pico,7.8,4,0.5,0.01,IN,1,,,,,,,,,,,
springsfire,springs6,39,live,pico,12.1,6,2,,IN,0.6,,,,,,,,,,,
springsfire,springs6,40,live,pico,10,6,1,,IN,0.9,,,,,,,,,,,
springsfire,springs6,41,live,pico,14.6,7,2,,IN,0.9,,,,,,,,,,,
springsfire,springs6,42,live,pico,7.8,4,1.9,0.75,IN,0.9,,,,,,,,,,,
springsfire,springs6,43,live,pico,17.4,9,2.1,0.5,IN,1,,,,,,,,,,,
springsfire,springs6,44,live,pico,14.3,8,2.1,0.5,IN,1.2,,,,,,,,,,,
springsfire,springs6,45,live,pico,10.9,5,2,,OV,0.5,,,,,,,,,,,
springsfire,springs6,46,live,pico,17.8,7.5,2,,IN,1.5,,,,,,,,,,,
springsfire,springs6,47,live,pico,31.6,8,2.5,1-Jan,IN,,,,,,,,,,,,
springsfire,springs6,48,live,pico,7.7,4,1.8,0.25,IN,0.5,,,,,,,,,,,
springsfire,springs6,49,live,pico,15.7,8,2.1,,IN,1,,,,,,,,,,,
springsfire,springs6,50,live,pico,9.1,7,4,,IN,0.5,,,,,,,,,,,
springsfire,springs6,51,live,pico,9.3,5.2,2,,IN,0.5,,,,,,,,,,,
springsfire,springs6,52,live,pico,8,6,2,,IN,0.5,,,,,,,,,,,
springsfire,springs6,53,live,pico,9.2,8,7,1,IN,0.5,,,,,,,,,,,
springsfire,springs6,54,live,pico,68.9,12,3,0.01,DO,7,,,,,,,,,,,
springsfire,springs6,55,dead,pico,16.1,5.9,,0.4,,,,,,,1,,,,,,
springsfire,springs6,56,live,pico,19.6,9.9,1.5,,IN,1,,,,,,,,,,,
springsfire,springs6,57,live,pico,17.1,10.9,5.6,1.5,CO,1,,,,,,,,,,,
springsfire,springs6,58,live,pico,19.3,10.3,3.7,1.5,IN,1.25,,,,,,,,,,,
springsfire,springs6,59,live,pico,15.5,7.7,2.2,0.7,IN,1,,,,,,,,,,,
springsfire,springs6,60,live,pico,36,9.8,2,0.3,CO,4,,,,,,,,,,,
springsfire,springs6,61,live,pico,12.9,6,1,,IN,0.75,,,,,,,,,,,
springsfire,springs6,62,live,pico,36.5,13.5,1,,CO,2,,,,,,,,,,,
springsfire,springs6,63,live,pico,49.4,14.8,1.5,0.2,CO,3,,,,,,,,,,,
springsfire,springs6,64,live,pico,20.3,10.5,3.9,1.2,IN,1.25,,,,,,,,,,,
springsfire,springs7,65,live,pico,33.3,16,2,x,CO,2.5,0.1,1,,,,,,,,,
springsfire,springs7,66,live,pico,14.3,9,1.1,x,OV,1.5,0.1,1,,,,,,,,,
springsfire,springs7,67,live,pico,23.8,8.4,2,0.3,IN,2,0.3,1,,,,,,,,,
springsfire,springs7,68,live,pico,13.9,5,1.8,0.2,OV,1,0.1,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,99.7,0.29,3,,,,,,
springsfire,springs7,69,live,pico,15.8,6,1.1,x,IN,1.75,0.05,1,,,,,,,,,
springsfire,springs7,70,live,pico,14.9,11,3,x,OV,0.5,0.5,1,,,,,,,,,
springsfire,springs7,71,live,pico,16.6,12,3,x,OV,0.5,0.5,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,23.6,0.72,2,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,61,0.28,2,,,,,,
springsfire,springs7,72,live,pico,52.3,17,9,x,CO,5,0.5,1,,,,,,6,2,,
springsfire,springs7,,stump,pico,,,,,,,,,51,0.3,2,,,,,,
springsfire,springs7,73,live,pico,31,14,5,2,IN,4,none,3,,,,,,6,3,,
springsfire,springs7,74,live,pico,52.3,17,3,x,CO,5,0.3,1,,,,,,,,,
springsfire,springs7,75,live,pico,44.3,17.1,3,x,CO,4,0.2,1,,,,,,,,,
springsfire,springs7,76,live,pico,15.8,9.6,1,x,OV,1,0.2,2,,,,,,,,,
springsfire,springs7,,dead,pico,12,9.4,,x,,,,,,,3,,,,,,
springsfire,springs7,77,live,pico,18.8,11,3,x,OV,2,0.3,3,,,,,,,,,
springsfire,springs7,78,live,pico,48.5,21,7,x,CO,4,1,2,,,,,,,,,
springsfire,springs7,79,live,pico,50.6,25,8,2.5,CO,3,0.6,1,,,,,,,,,
springsfire,springs7,,stump,pico,,,,,,,,,23,0.75,1,,,,,,
springsfire,springs7,80,live,pico,72.4,22,3,x,CO,6,0.2,1,,,,,,,,,
