plot_id,inv_date,status,species,dbh_cm
springs27,8/1/2019,live,pico,37.3
springs27,8/1/2019,live,pije,35.1
springs28,8/1/2019,live,pije,19.8
springs28,8/1/2019,live,pije,58.8
springs28,8/1/2019,live,pije,12.9
springs28,8/1/2019,live,pije,12.2
springs28,8/1/2019,live,pije,61.8
springs28,8/1/2019,live,pije,37.2
springs28,8/1/2019,live,pije,38.9
springs28,8/1/2019,live,pije,21.6
springs28,8/1/2019,live,pije,28.8
springs28,8/1/2019,live,pije,10.1
springs28,8/1/2019,live,pije,9.9
springs28,8/1/2019,live,pije,46
springs28,8/1/2019,live,pije,14
springs28,8/1/2019,live,pije,12
springs28,8/1/2019,live,pije,15.7
springs28,8/1/2019,live,pije,20.4
springs28,8/1/2019,live,pije,15.2
springs28,8/1/2019,live,pije,11.1
springs28,8/1/2019,live,pije,18
springs28,8/1/2019,live,pije,9.9
springs28,8/1/2019,live,pije,29.1
springs28,8/1/2019,live,pije,7.9
springs28,8/1/2019,live,pije,18
springs28,8/1/2019,live,pije,34.1
springs28,8/1/2019,live,pije,34.7
springs28,8/1/2019,live,pije,28.5
springs28,8/1/2019,live,pije,15.8
springs28,8/1/2019,live,pije,37
springs29,8/1/2019,live,pije,41.6
springs29,8/1/2019,live,pije,31.6
springs29,8/1/2019,live,pije,45.5
springs29,8/1/2019,live,pije,38.2
springs29,8/1/2019,live,pije,52.8
springs30,8/1/2019,live,pije,11.7
springs30,8/1/2019,live,pije,30.3
springs30,8/1/2019,live,pije,18.8
springs30,8/1/2019,live,pije,19
springs30,8/1/2019,live,pije,20.8
springs30,8/1/2019,live,pije,22.4
springs30,8/1/2019,live,pije,10.5
springs30,8/1/2019,live,pije,101
springs30,8/1/2019,live,pije,22.2
springs30,8/1/2019,live,pije,11.6
springs30,8/1/2019,live,pije,11.9
springs30,8/1/2019,live,pije,15.7
springs30,8/1/2019,live,pije,10.6
springs30,8/1/2019,live,pije,8
springs30,8/1/2019,live,pije,15.7
