site,year,plot_id,azimuth,slope,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,1hr,10hr,100hr,duff1,litter1,duff2,litter2,notes
,,,,%,m,m,m,m,count,count,count,cm,cm,cm,cm,
springsfire,2019,springs17,E,,2,2,4,11.3,0,1,1,0,tr,0,tr,
springsfire,2019,springs17,W,,2,2,4,11.3,2,0,0,0,tr,0,1,
springsfire,2019,springs18,N,,2,2,4,11.3,0,0,0,0,0,0,tr,
springsfire,2019,springs18,S,,2,2,4,11.3,4,1,0,0,tr,0,0,
springsfire,2019,springs18,E,,2,2,4,11.3,3,0,0,0,3.25,0,1,
springsfire,2019,springs18,W,,2,2,4,11.3,1,1,1,0,0.5,tr,3,
springsfire,2019,springs19,N,,2,2,4,11.3,1,0,0,0,2,0,2,
springsfire,2019,springs19,S,,2,2,4,11.3,1,1,0,0,2,1,2,
springsfire,2019,springs19,E,,2,2,4,11.3,6,0,4,0.5,0.5,0,0,
springsfire,2019,springs19,W,,2,2,4,11.3,1,4,0,0,tr,0,0,
springsfire,2019,springs20,N,,2,2,4,11.3,0,1,1,0,1,0,1,
springsfire,2019,springs20,S,,2,2,4,11.3,0,0,1,0,2,0,1,
springsfire,2019,springs20,E,,2,2,4,11.3,0,0,0,0,0,0,tr,
springsfire,2019,springs20,W,,2,2,4,11.3,2,0,0,0,tr,0,tr,
springsfire,2019,springs21,N,,2,2,4,11.3,0,0,0,1,2,1,1,
springsfire,2019,springs21,S,,2,2,4,11.3,0,0,0,1,1,tr,tr,
springsfire,2019,springs21,E,,2,2,4,11.3,0,0,0,0,1,0,1,
springsfire,2019,springs21,W,,2,2,4,11.3,3,0,0,0,0,0,1,
springsfire,2019,springs22,N,,2,2,4,11.3,0,1,1,tr,1,0,2,
springsfire,2019,springs22,S,,2,2,4,11.3,0,1,1,tr,tr,0,tr,
springsfire,2019,springs22,E,,2,2,4,11.3,0,3,0,0,1.75,0,2.5,
springsfire,2019,springs22,W,,2,2,4,11.3,0,7,1,tr,3.1,tr,0.5,
springsfire,2019,springs23,N,,2,2,4,11.3,1,3,0,0,2,0,tr,
springsfire,2019,springs23,S,,2,2,4,11.3,10,4,0,0,tr,0,1,
springsfire,2019,springs23,E,,2,2,4,11.3,1,1,0,1,1,0,1,
springsfire,2019,springs23,W,,2,2,4,11.3,0,2,1,2,2,3,3,
springsfire,2019,springs24,N,,2,2,4,11.3,2,0,0,0,1,0,tr,
springsfire,2019,springs24,S,,2,2,4,11.3,0,2,0,0,2,0,tr,
springsfire,2019,springs24,E,,2,2,4,11.3,0,1,0,0,2,0,1,
springsfire,2019,springs24,W,,2,2,4,11.3,4,3,1,0,tr,tr,0,
springsfire,2019,springs25,N,,2,2,4,11.3,0,2,2,0,tr,0,tr,
springsfire,2019,springs25,S,,2,2,4,11.3,0,1,0,0,tr,0,tr,
springsfire,2019,springs25,E,,2,2,4,11.3,0,0,0,0,1,0,1,
springsfire,2019,springs25,W,,2,2,4,11.3,0,1,1,0,0,0,1,
springsfire,2019,springs26,N,,2,2,4,11.3,4,2,0,1,2,2,tr,
springsfire,2019,springs26,S,,2,2,4,11.3,3,1,2,0,tr,0,1,
springsfire,2019,springs26,E,,2,2,4,11.3,1,2,0,2,0,0,tr,
springsfire,2019,springs26,W,,2,2,4,11.3,2,1,0,2,tr,2,tr,
springsfire,2019,springs27,N,,2,2,4,11.3,2,2,0,0,1.5,0,tr,
springsfire,2019,springs27,S,,2,2,4,11.3,0,0,0,0,1.5,0,tr,
springsfire,2019,springs27,E,,2,2,4,11.3,0,2,0,0,tr,1,tr,
springsfire,2019,springs27,W,,2,2,4,11.3,1,0,0,0,3,0,tr,
springsfire,2019,springs28,N,,2,2,4,11.3,0,0,0,1,tr,0,tr,
springsfire,2019,springs28,S,,2,2,4,11.3,0,1,0,0,tr,0,tr,
springsfire,2019,springs28,E,,2,2,4,11.3,0,0,0,0,tr,0,1,
springsfire,2019,springs28,W,,2,2,4,11.3,0,0,0,1,2,0,tr,
springsfire,2019,springs29,N,,2,2,4,11.3,0,9,0,2,tr,2,tr,
springsfire,2019,springs29,S,,2,2,4,11.3,3,1,0,0,tr,0,tr,
springsfire,2019,springs29,E,,2,2,4,11.3,0,2,0,0,1,0,tr,
springsfire,2019,springs29,W,,2,2,4,11.3,0,0,0,0,1,0,tr,
springsfire,2019,springs30,N,,2,2,4,11.3,0,1,0,0,tr,0,1,
springsfire,2019,springs30,S,,2,2,4,11.3,0,0,0,0,tr,0,1,
springsfire,2019,springs30,E,,2,2,4,11.3,1,2,0,1,tr,1,tr,
springsfire,2019,springs30,W,,2,2,4,11.3,0,1,0,4,tr,0,tr,
